name,id
account management,13563009
app navigation,12499043
bug apple lock screen,15519568
bug report,13548119
cancel subscription,11890945
challenge,13548379
engagement,15744927
feedback,13535231
grief,16501821
harvard,14794425
instagram,12503430
login issues,16548020
maven_draft,16226122
messenger,12503565
need based,16548045
onboarding,14392836
other,10403829
platform unclear,5123759
podcast,8608744
spam,16545102
sub acquisition,13543163
sub b2b,13556435
sub retention,13558280
subscription,13547726
technical,15857378
troubleshooting,5203995
update credit card,4983414
